"by15","par1_n","par2_s","pyr1_n","pyr2_s","am2320_high_temp","am2320_high_rh","sht2_low_temp","sht2_low_rh","bmp_box_temp","bmp_box_atm_p","soil_t1","soil_t2","soil_t3","soil_t4"
2019-08-30 02:45:00,125.77,-55.0163333333333,-13.0216666666667,-16.2496666666667,19.0033333333333,53.8566666666667,19.8623333333333,58.3246666666667,22.998,85205.678,24.496,24.5936666666667,25.4766666666667,24.548
2019-08-30 03:00:00,50.388275862069,-31.3024137931034,-13.9013793103448,-15.5179310344828,19.6,52.7620689655172,19.988275862069,58.3796551724138,23.0551724137931,85189.0393103448,24.3124137931034,24.4168965517241,25.2996551724138,24.3662068965517
2019-08-30 03:15:00,-59.1776666666667,5.681,-16.406,-13.7506666666667,19.1933333333333,54.07,19.8876666666667,58.9366666666667,23.07,85184.271,24.1463333333333,24.25,25.123,24.2183333333333
2019-08-30 03:30:00,31.9537931034483,-36.621724137931,-12.231724137931,-17.618275862069,20.6241379310345,51.1724137931034,20.4431034482759,57.9413793103448,23.0686206896552,85178.1320689655,23.991724137931,24.0855172413793,24.9637931034483,24.0496551724138
2019-08-30 03:45:00,37.0023333333333,-31.335,-13.49,-16.7186666666667,21.2066666666667,48.5833333333333,21.1346666666667,55.902,23.417,85183.942,23.8553333333333,23.948,24.802,23.89
2019-08-30 04:00:00,-47.0241379310345,-5.25827586206897,-14.9251724137931,-14.9262068965517,20.9413793103448,48.4103448275862,21.1889655172414,54.8462068965517,23.4896551724138,85196.0382758621,23.7479310344828,23.818275862069,24.6651724137931,23.7624137931034
2019-08-30 04:15:00,-55.0163333333333,-9.927,-14.4793333333333,-15.782,21.2533333333333,47.2133333333333,21.2596666666667,54.1936666666667,23.5466666666667,85196.5383333333,23.648,23.716,24.532,23.675
2019-08-30 04:30:00,-59.4693103448276,0.989310344827586,-15.7320689655172,-14.4406896551724,21.1379310344828,47.3241379310345,21.2972413793103,54.0506896551724,23.7134482758621,85193.5320689655,23.5558620689655,23.6213793103448,24.4203448275862,23.5662068965517
2019-08-30 04:45:00,-7.87068965517242,-19.1775862068966,-14.6006896551724,-15.4634482758621,21.5586206896552,46.5586206896552,21.6341379310345,53.611724137931,23.7489655172414,85194.1455172414,23.4710344827586,23.5310344827586,24.3058620689655,23.4751724137931
2019-08-30 05:00:00,16.3226666666667,-21.708,-14.7916666666667,-15.1563333333333,21.4633333333333,47.0166666666667,21.61,53.566,23.7366666666667,85196.6153333333,23.3956666666667,23.46,24.212,23.391
