"by15","wind_speed_m_s","position","treatment","block"
2019-08-26 10:30:00,0.0168120614941138,"bottom","well_watered","W"
2019-08-26 10:45:00,0.0323368441015585,"bottom","well_watered","W"
2019-08-26 11:00:00,0.0187329815544567,"bottom","well_watered","W"
2019-08-26 11:15:00,0.0176895291689694,"bottom","well_watered","W"
2019-08-26 11:30:00,0.0158032862345483,"bottom","well_watered","W"
2019-08-26 11:45:00,0.0159058288526434,"bottom","well_watered","W"
2019-08-26 12:00:00,0.00969572807330684,"bottom","well_watered","W"
2019-08-26 12:15:00,0.0150588901034494,"bottom","well_watered","W"
2019-08-26 12:30:00,0.0106733540359752,"bottom","well_watered","W"
2019-08-26 12:45:00,0.0295055139810126,"bottom","well_watered","W"
2019-08-26 13:00:00,0.0257508743909298,"bottom","well_watered","W"
2019-08-26 13:15:00,0.0211423616587748,"bottom","well_watered","W"
2019-08-26 13:30:00,0.0166831194474476,"bottom","well_watered","W"
2019-08-26 13:45:00,0.0194588742016355,"bottom","well_watered","W"
2019-08-26 14:00:00,0.0407130444710172,"bottom","well_watered","W"
2019-08-26 14:15:00,0.0279690830787565,"bottom","well_watered","W"
2019-08-26 14:30:00,0.0277516138135551,"bottom","well_watered","W"
2019-08-26 14:45:00,0.0295509206710812,"bottom","well_watered","W"
2019-08-26 15:00:00,0.0296896786194081,"bottom","well_watered","W"
2019-08-26 15:15:00,0.0125368550986008,"bottom","well_watered","W"
2019-08-26 15:30:00,0.0300480317748693,"bottom","well_watered","W"
2019-08-26 15:45:00,0.0145031091351269,"bottom","well_watered","W"
2019-08-26 16:00:00,0.0202135236490782,"bottom","well_watered","W"
2019-08-26 16:15:00,0.0155556469083077,"bottom","well_watered","W"
2019-08-26 16:30:00,0.0167917526618545,"bottom","well_watered","W"
2019-08-26 16:45:00,0.0197389934935057,"bottom","well_watered","W"
2019-08-26 17:00:00,0.0230032792123258,"bottom","well_watered","W"
2019-08-26 17:15:00,0.0114465913901307,"bottom","well_watered","W"
2019-08-26 17:30:00,0.0135507358590053,"bottom","well_watered","W"
2019-08-26 17:45:00,0.0202123886291796,"bottom","well_watered","W"
2019-08-26 18:00:00,0.013406631284561,"bottom","well_watered","W"
2019-08-26 18:15:00,0.0206426662949451,"bottom","well_watered","W"
2019-08-26 18:30:00,0.0152099958841507,"bottom","well_watered","W"
2019-08-26 18:45:00,0.0119482353310385,"bottom","well_watered","W"
2019-08-26 19:00:00,0.0150652349798475,"bottom","well_watered","W"
2019-08-26 19:15:00,0.0139941722363499,"bottom","well_watered","W"
2019-08-26 19:30:00,0.0188215569943453,"bottom","well_watered","W"
2019-08-26 19:45:00,0.0193955924858671,"bottom","well_watered","W"
2019-08-26 20:00:00,0.0053038588907524,"bottom","well_watered","W"
2019-08-26 20:15:00,0.00319442327174452,"bottom","well_watered","W"
2019-08-26 20:30:00,0.00476709893463122,"bottom","well_watered","W"
2019-08-26 20:45:00,0.00246029772853196,"bottom","well_watered","W"
2019-08-26 21:00:00,0.00066021673571039,"bottom","well_watered","W"
2019-08-26 21:15:00,0.000152550369902773,"bottom","well_watered","W"
2019-08-26 21:30:00,1.3398943869646e-05,"bottom","well_watered","W"
2019-08-26 21:45:00,3.97223540321762e-05,"bottom","well_watered","W"
2019-08-26 22:00:00,0.000351886720272706,"bottom","well_watered","W"
2019-08-26 22:15:00,0.000105833256804686,"bottom","well_watered","W"
2019-08-26 22:30:00,0.000202024450258238,"bottom","well_watered","W"
2019-08-26 22:45:00,0.000284985223540925,"bottom","well_watered","W"
2019-08-26 23:00:00,0.000204845405826131,"bottom","well_watered","W"
2019-08-26 23:15:00,0.000137035427404053,"bottom","well_watered","W"
2019-08-26 23:30:00,6.48918420725421e-05,"bottom","well_watered","W"
2019-08-26 23:45:00,0.000132086369044226,"bottom","well_watered","W"
2019-08-27 00:00:00,0.000117478652910332,"bottom","well_watered","W"
2019-08-27 00:15:00,7.47332980610202e-05,"bottom","well_watered","W"
2019-08-27 00:30:00,0.000310837919693015,"bottom","well_watered","W"
2019-08-27 00:45:00,8.20362934494176e-05,"bottom","well_watered","W"
2019-08-27 01:00:00,3.00985318903129e-05,"bottom","well_watered","W"
2019-08-27 01:15:00,0.000108681513152612,"bottom","well_watered","W"
2019-08-27 01:30:00,1.2026245723216e-05,"bottom","well_watered","W"
2019-08-27 01:45:00,0.000135719286891624,"bottom","well_watered","W"
2019-08-27 02:00:00,0,"bottom","well_watered","W"
2019-08-27 02:15:00,5.06540338663166e-11,"bottom","well_watered","W"
2019-08-27 02:30:00,2.77297855970343e-05,"bottom","well_watered","W"
2019-08-27 02:45:00,3.05224326660824e-05,"bottom","well_watered","W"
2019-08-27 03:00:00,0,"bottom","well_watered","W"
2019-08-27 03:15:00,4.92133549394289e-07,"bottom","well_watered","W"
2019-08-27 03:30:00,0,"bottom","well_watered","W"
